OWL ANIME & FILM ONERI LISTESI - 2026-05-26 07:18 - 134 film
================================================================================

#0001 | OWL:9.4 | MAL:9.1 | Chainsaw Man: Reze Arc (2025) | Tatsuya Yoshihara
#0002 | OWL:9.1 | MAL:8.8 | Spirited Away (2001) | Hayao Miyazaki
#0003 | OWL:9.1 | MAL:8.9 | A Silent Voice (2016) | Naoko Yamada
#0004 | OWL:8.9 | MAL:8.7 | Princess Mononoke (1997) | Hayao Miyazaki
#0005 | OWL:8.9 | MAL:8.5 | The Tatami Galaxy (2010) | Masaaki Yuasa
#0006 | OWL:8.9 | MAL:8.6 | Wolf Children (2012) | Mamoru Hosoda
#0007 | OWL:8.9 | MAL:8.5 | Violet Evergarden: The Movie (2020) | Taichi Ishidate
#0008 | OWL:8.9 | MAL:8.5 | The First Slam Dunk (2022) | Takehiko Inoue
#0009 | OWL:8.9 | MAL:8.5 | Look Back (2024) | Kiyotaka Oshiyama
#0010 | OWL:8.9 | MAL:8.5 | Madoka Magica: Walpurgisnacht Rising (2025) | Akiyuki Shinbo
#0011 | OWL:8.9 | MAL:8.7 | Rurouni Kenshin: Trust and Betrayal (1999) | Kazuhiro Furuhashi
#0012 | OWL:8.8 | MAL:8.5 | Grave of the Fireflies (1988) | Isao Takahata
#0013 | OWL:8.8 | MAL:8.6 | Howls Moving Castle (2004) | Hayao Miyazaki
#0014 | OWL:8.8 | MAL:8.5 | Jujutsu Kaisen 0 (2021) | Seong-Hu Park
#0015 | OWL:8.7 | MAL:8.5 | Perfect Blue (1997) | Satoshi Kon
#0016 | OWL:8.7 | MAL:8.4 | Suzume (2022) | Makoto Shinkai
#0017 | OWL:8.7 | MAL:8.3 | Blue Giant (2023) | Yuzuru Tachikawa
#0018 | OWL:8.7 | MAL:8.3 | Fate/stay night: Heaven's Feel III (2020) | Tomonori Sudo
#0019 | OWL:8.6 | MAL:8.3 | Nausicaa of the Valley of the Wind (1984) | Hayao Miyazaki
#0020 | OWL:8.6 | MAL:8.3 | My Neighbor Totoro (1988) | Hayao Miyazaki
#0021 | OWL:8.6 | MAL:8.3 | Ghost in the Shell (1995) | Mamoru Oshii
#0022 | OWL:8.6 | MAL:8.2 | Rurouni Kenshin: The Beginning (2021) | Keishi Otomo
#0023 | OWL:8.5 | MAL:8.2 | Castle in the Sky (1986) | Hayao Miyazaki
#0024 | OWL:8.5 | MAL:8.2 | Akira (1988) | Katsuhiro Otomo
#0025 | OWL:8.5 | MAL:8.1 | The Tale of The Princess Kaguya (2013) | Isao Takahata
#0026 | OWL:8.5 | MAL:8.2 | In This Corner of the World (2016) | Sunao Katabuchi
#0027 | OWL:8.4 | MAL:8.2 | Kikis Delivery Service (1989) | Hayao Miyazaki
#0028 | OWL:8.4 | MAL:8.2 | Whisper of the Heart (1995) | Yoshifumi Kondo
#0029 | OWL:8.4 | MAL:8.2 | Millennium Actress (2001) | Satoshi Kon
#0030 | OWL:8.4 | MAL:8.1 | Tokyo Godfathers (2003) | Satoshi Kon
#0031 | OWL:8.4 | MAL:8.2 | Redline (2009) | Takeshi Koike
#0032 | OWL:8.4 | MAL:8.1 | The Night Is Short, Walk on Girl (2017) | Masaaki Yuasa
